Tul Code,Ordenado,Delivered,Orders,ACV,AOV,Sku's,Freq
CL-042820,85813826.08,83047946.06,12,83047946.060000000000,6920662.171666666667,10,4.0000000000000000
CL-012525,85190083.71,85172961.51,57,85172961.510000000000,1494262.482631578947,68,19.0000000000000000
CL-036103,84779631.5,84636016,60,84636016.000000000000,1410600.266666666667,99,20.0000000000000000
CL-046242,83045762.59,75062300.93,34,75062300.930000000000,2207714.733235294118,35,11.3333333333333333
CL-033155,80843175.38,57438178.38,6,57438178.380000000000,9573029.730000000000,3,2.0000000000000000
CL-026639,80319541.47,81454071.5,4,81454071.500000000000,20363517.875000000000,13,1.3333333333333333
CL-029224,79490480.74,79300947.62,30,79300947.620000000000,2643364.920666666667,23,10.0000000000000000
CL-024977,79323758.39,75676594.2015127,17,75676594.201512700000,4451564.364794864706,29,5.6666666666666667
CL-022424,78600264.02,79216577.27,101,79216577.270000000000,784322.547227722772,251,33.6666666666666667
CL-023190,77057731.33,76166939.13,53,76166939.130000000000,1437112.059056603774,19,17.6666666666666667
CL-005799,76729377.61,72090844.6269675,41,72090844.626967500000,1758313.283584573171,22,13.6666666666666667
CL-040226,75435946.82,74906613.2745863,43,74906613.274586300000,1742014.262199681395,70,14.3333333333333333
CL-028986,72055366.8,68863784.8,4,68863784.800000000000,17215946.200000000000,10,1.3333333333333333
CL-023460,70325681.6,70325681.6,9,70325681.600000000000,7813964.622222222222,5,3.0000000000000000
CL-006868,69860128.1,64743516.9969033,21,64743516.996903300000,3083024.618900157143,15,7.0000000000000000
CL-033722,69439878.81,69383463.49,45,69383463.490000000000,1541854.744222222222,34,15.0000000000000000
CL-046241,69044194.37,63455920.36,20,63455920.360000000000,3172796.018000000000,20,6.6666666666666667
CL-058640,68479429.4,64677491.26,12,64677491.260000000000,5389790.938333333333,27,4.0000000000000000
CL-036559,68015941.2,67985863.19,20,67985863.190000000000,3399293.159500000000,19,6.6666666666666667
CL-051288,67955529.525,65780265.52,24,65780265.520000000000,2740844.396666666667,29,8.0000000000000000
CL-023558,66855962.05,66302623.96,15,66302623.960000000000,4420174.930666666667,20,5.0000000000000000
CL-037346,65902450.826,63212378.7695,66,63212378.769500000000,957763.314689393939,20,22.0000000000000000
CL-023055,65622336.20352,69495983.93,31,69495983.930000000000,2241805.933225806452,52,10.3333333333333333
CL-035931,64806357.56,64806357.56,15,64806357.560000000000,4320423.837333333333,7,5.0000000000000000
CL-005639,64338717.53,57905599.31,23,57905599.310000000000,2517634.752608695652,23,7.6666666666666667
CL-025603,64119140.084,63454824.2969014,34,63454824.296901400000,1866318.361673570588,106,11.3333333333333333
CL-004088,63734559.56,63262223.43,47,63262223.430000000000,1346004.753829787234,83,15.6666666666666667
CL-025145,63040748.79,60704683.35,63,60704683.350000000000,963566.402380952381,65,21.0000000000000000
CL-010940,62981040.195,59218526.8820014,23,59218526.882001400000,2574718.560087017391,73,7.6666666666666667
CL-021839,62908349.48,61467430.2,12,61467430.200000000000,5122285.850000000000,12,4.0000000000000000
CL-027501,62390406.72,62390406.72,2,62390406.720000000000,31195203.360000000000,9,0.66666666666666666667
CL-022748,61281727.77,60943336.26,35,60943336.260000000000,1741238.178857142857,43,11.6666666666666667
CL-052914,60345058.289,60316365.5377,8,60316365.537700000000,7539545.692212500000,6,2.6666666666666667
CL-040691,58603298.55,59205678.56,68,59205678.560000000000,870671.743529411765,74,22.6666666666666667
CL-036825,58495267.87,55405746.6343201,21,55405746.634320100000,2638368.887348576190,18,7.0000000000000000
CL-050166,58152455.52,56803580.52,17,56803580.520000000000,3341387.089411764706,8,5.6666666666666667
CL-028559,57845201.92,57845201.92,4,57845201.920000000000,14461300.480000000000,4,1.3333333333333333
CL-028477,57654578.49,51908354.94,20,51908354.940000000000,2595417.747000000000,9,6.6666666666666667
CL-032833,57242580.81,57242580.81,12,57242580.810000000000,4770215.067500000000,6,4.0000000000000000
CL-033725,57168453.88,57200100.88,19,57200100.880000000000,3010531.625263157895,6,6.3333333333333333
CL-049268,56877716.01,51838309.76,11,51838309.760000000000,4712573.614545454545,20,3.6666666666666667
CL-013869,55723015.92,55291541.5,7,55291541.500000000000,7898791.642857142857,37,2.3333333333333333
CL-023940,55474218.15,55425694.36,21,55425694.360000000000,2639318.779047619048,72,7.0000000000000000
CL-038484,55399384.484571,51023038.25,11,51023038.250000000000,4638458.022727272727,23,3.6666666666666667
CL-005117,55221181.18,54951853.5409152,8,54951853.540915200000,6868981.692614400000,8,2.6666666666666667
CL-016054,55135911.5,53892404.2,29,53892404.200000000000,1858358.765517241379,18,9.6666666666666667
CL-013246,54913118.88,54469040.759,60,54469040.759000000000,907817.345983333333,218,20.0000000000000000
CL-033084,54897567.85,54897567.84,18,54897567.840000000000,3049864.880000000000,17,6.0000000000000000
