Uuid,Ordenado,Delivered,Orders,ACV,AOV,Sku's,Sku's x Order,Freq
57e55d5b-058a-4a72-876b-8c11241b67df,1355435266.72864,827061167.359974,380,827061167.35997400,2176476.756210457895,203,0.53421052631578947368,126.6666666666666667
ed919b0b-3280-4c0f-af78-b2c8c5049781,1352503491.60553,836705341.511122,409,836705341.51112200,2048058.178450176039,93,0.22738386308068459658,136.3333333333333333
af9116fc-8107-42a1-b40c-a9702abd382e,1320710560.55577,1207976962.93875,233,1207976962.93875000,5184450.484715665236,174,0.74678111587982832618,77.6666666666666667
19ceff8c-9e37-4789-9c93-80e6b6ee69d3,1165130899.41694,947315682.046468,502,947315682.04646800,1887331.863200135458,143,0.28486055776892430279,167.3333333333333333
4283be07-8e2a-4d7f-bb6d-87cf9cdc6152,1152856407.57325,1019522339.25113,289,1019522339.25113000,3527758.959346470588,118,0.40830449826989619377,96.3333333333333333
f221a279-4567-4d04-ac4d-7962a98394ea,1151939117.39557,976410815.422343,286,976410815.42234300,3414023.830148052448,172,0.60139860139860139860,95.3333333333333333
5b8324a6-3188-45ee-bef9-f603a752bab1,1145533358.38593,808780931.747328,141,808780931.74732800,5736133.947144170213,91,0.64539007092198581560,47.0000000000000000
0d41e8c3-0587-4111-be84-b5fd1b05d9ed,1026821416.28303,651525698.449071,210,651525698.44907100,3102503.325947957143,63,0.30000000000000000000,70.0000000000000000
21600c48-76c1-4e8b-b054-b6d75ee4763b,927672236.440341,877507577.282099,179,877507577.28209900,4902276.968056418994,202,1.12849162011173184358,59.6666666666666667
bff3e392-ce8d-492d-a976-3b98309f48a1,823247648.109912,585033905.027013,141,585033905.02701300,4149176.631397255319,59,0.41843971631205673759,47.0000000000000000
1b33be1c-a85e-4f70-9d59-bbe1646fe412,817855186.753541,682299052.441927,214,682299052.44192700,3188313.329167883178,108,0.50467289719626168224,71.3333333333333333
d29444cf-07a2-472e-b3d5-85c052b82d63,804812590.182941,655156684.261041,69,655156684.26104100,9495024.409580304348,28,0.40579710144927536232,23.0000000000000000
83098593-d168-4b65-aa8e-fc868bb6a53c,785697992.968168,504528191.506919,127,504528191.50691900,3972662.925251330709,36,0.28346456692913385827,42.3333333333333333
033d5887-370d-400a-86d6-4829d760486d,774341145.782661,732412701.579796,320,732412701.57979600,2292288.445725300000,100,0.31250000000000000000,106.6666666666666667
6a21f6e9-c34c-4310-adef-5163e007672e,731080439.25,312661975.2,28,312661975.20000000,11166499.114285714286,20,0.71428571428571428571,9.3333333333333333
ed9af42b-ec51-445e-9e6a-2fd99dcb3bd6,723011788.519166,521927501.83182,77,521927501.83182000,6778279.244569090909,38,0.49350649350649350649,25.6666666666666667
5fc22e1f-8345-4316-ae0a-5d89eaff4c0d,684816494.145551,570950548.712436,164,570950548.71243600,3502764.102530282209,54,0.32926829268292682927,54.6666666666666667
53b97f4d-73fe-4bb6-bea8-a76ffafa6342,666605051.188,649685999.284171,23,649685999.28417100,28254658.656772652174,32,1.39130434782608695652,7.6666666666666667
2780a5cc-5873-4779-92ce-1e6737b41ccb,666130313.582399,547291646.603752,65,547291646.60375200,8420451.844151969231,56,0.86153846153846153846,21.6666666666666667
4d5bea96-b951-4c0d-a39e-0fc550f200b2,652914841.099411,623383434.646151,34,623383434.64615100,18334806.901357382353,13,0.38235294117647058824,11.3333333333333333
045a3e12-fac3-4081-b658-f2b715e077d3,647194048.050724,568868001.040025,350,568868001.04002500,1625337.145828642857,98,0.28000000000000000000,116.6666666666666667
d39b0f4f-a9b3-47f3-99cd-ce2f7cacf4b9,635988990.838481,387949078.218212,104,387949078.21821200,3730279.598252038462,80,0.76923076923076923077,34.6666666666666667
8b9d5e22-5c8b-418c-a391-bee9adb16f4e,623186282.521004,506628724.339339,374,506628724.33933900,1357090.095513901070,1185,3.16844919786096256684,124.6666666666666667
5ba9ac87-f3b6-4403-a063-248225b6e2fe,605665439.500716,540113822.188941,95,540113822.18894100,5685986.019252010526,107,1.12631578947368421053,31.6666666666666667
ed9301b7-fe7f-4cf8-a961-60ba654a7045,598711448.756521,523289714.052081,82,523289714.05208100,6381581.878683914634,19,0.23170731707317073171,27.3333333333333333
e7ea6b66-4460-488b-b507-d28deb60b935,598435185.603128,464072138.748186,39,464072138.74818600,11901197.866811897436,58,1.48717948717948717949,13.0000000000000000
efe2f35e-a68a-415d-9d31-c1792e543031,594052759.978011,556407852.012531,190,556407852.01253100,2928462.379013321053,81,0.42631578947368421053,63.3333333333333333
e38c9cff-f279-474f-8ce4-e31f4adae538,592735954.201632,299456379.055151,539,299456379.05515100,555577.697690447124,129,0.23933209647495361781,179.6666666666666667
6f091810-7872-4b92-b18d-84fbe9e6e5fd,589658673.354859,489461751.682833,326,489461751.68283300,1501416.416205009202,104,0.31901840490797546012,108.6666666666666667
ef8c2b2f-4a75-47bb-ab07-fadbfb33efd2,582712767.572932,506214799.951245,176,506214799.95124500,2876220.454268437500,83,0.47159090909090909091,58.6666666666666667
